movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,keywords,id,poster_path,comb
Missing,Will Merrick,Storm Reid,Joaquim de Almeida,Ken Leung,Drama Mystery Thriller,"kidnapping amateur detective fbi detective story sequel betrayal teenage girl los angeles, california home video teenage daughter computer screen found footage social media generation z overprotective mother mother daughter relationship screenlife colombia secrets missing mother van nuys, california",768362,/wEOUYSU5Uf8J7152PT6jdb5233Y.jpg,"will merrick storm reid joaquim de almeida ken leung drama mystery thriller kidnapping amateur detective fbi detective story sequel betrayal teenage girl los angeles, california home video teenage daughter computer screen found footage social media generation z overprotective mother mother daughter relationship screenlife colombia secrets missing mother van nuys, california"
Insidious: The Red Door,Patrick Wilson,Ty Simpkins,Patrick Wilson,Rose Byrne,Horror Thriller,sequel demon insidious malicious supernatural horror evil spirits fifth part sinister,614479,/d07phJqCx6z5wILDYqkyraorDPi.jpg,patrick wilson ty simpkins patrick wilson rose byrne horror thriller sequel demon insidious malicious supernatural horror evil spirits fifth part sinister
"Ruby Gillman, Teenage Kraken",Kirk DeMicco,Lana Condor,Toni Collette,Annie Murphy,Animation Family Fantasy Comedy,high school ocean boat transformation fisherman mermaid villain coming of age prom female protagonist kraken female villain coastal town fitting in trident 3d animation teenager animation,1040148,/8ChIb3WzYAcza1vrXR56v510MWk.jpg,kirk demicco lana condor toni collette annie murphy animation family fantasy comedy high school ocean boat transformation fisherman mermaid villain coming of age prom female protagonist kraken female villain coastal town fitting in trident 3d animation teenager animation
Black Clover: Sword of the Wizard King,Ayataka Tanemura,Gakuto Kajiwara,Nobunaga Shimazaki,Junichi Suwabe,Animation Fantasy Action Adventure,magic based on manga demon wizard shounen anime,812225,/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,ayataka tanemura gakuto kajiwara nobunaga shimazaki junichi suwabe animation fantasy action adventure magic based on manga demon wizard shounen anime
Knights of the Zodiac,Tomek Bagiński,Mackenyu,Madison Iseman,Diego Tinoco,Fantasy Action Adventure,fighter superhero mythology training reincarnation goddess knight orphan based on manga super power nostalgic,455476,/qW4crfED8mpNDadSmMdi7ZDzhXF.jpg,tomek bagiński mackenyu madison iseman diego tinoco fantasy action adventure fighter superhero mythology training reincarnation goddess knight orphan based on manga super power nostalgic
The Zone of Interest,Jonathan Glazer,Christian Friedel,Sandra Hüller,Johann Karthaus,Drama History War,husband wife relationship based on novel or book nazi concentration camp holocaust (shoah) world war ii auschwitz-birkenau concentration camp garden biography based on true story nazi officer genocide 1940s commandant complicity,467244,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,jonathan glazer christian friedel sandra hüller johann karthaus drama history war husband wife relationship based on novel or book nazi concentration camp holocaust (shoah) world war ii auschwitz-birkenau concentration camp garden biography based on true story nazi officer genocide 1940s commandant complicity
Rebel Moon - Part One: A Child of Fire,Zack Snyder,Sofia Boutella,Michiel Huisman,Ed Skrein,Science Fiction Action Adventure,rebellion space war space female protagonist militarism space opera family values authoritarianism space adventure action hero female warrior political crisis alien spaceship dreary super hero girls space vessel pretentious,848326,/ui4DrH1cKk2vkHshcUcGt2lKxCm.jpg,zack snyder sofia boutella michiel huisman ed skrein science fiction action adventure rebellion space war space female protagonist militarism space opera family values authoritarianism space adventure action hero female warrior political crisis alien spaceship dreary super hero girls space vessel pretentious
Cocaine Bear,Elizabeth Banks,Keri Russell,Alden Ehrenreich,O'Shea Jackson Jr.,Thriller Comedy Crime,cocaine animal attack georgia based on true story rampage duringcreditsstinger woman director black bear apex predator casual,804150,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,elizabeth banks keri russell alden ehrenreich o'shea jackson jr. thriller comedy crime cocaine animal attack georgia based on true story rampage duringcreditsstinger woman director black bear apex predator casual
The Vigilante,Lee Whittaker,Jet Jandreau,Alison Jaye Horowitz,Ana Alexander,Thriller Action,,1151470,/xD9LpYZYmNch2EhHWIJXXFayENH.jpg,lee whittaker jet jandreau alison jaye horowitz ana alexander thriller action
Operation Fortune: Ruse de Guerre,Guy Ritchie,Jason Statham,Aubrey Plaza,Josh Hartnett,Action Comedy Thriller,"martial arts london, england showdown madrid, spain espionage spy secret agent shootout cannes, france",739405,/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,"guy ritchie jason statham aubrey plaza josh hartnett action comedy thriller martial arts london, england showdown madrid, spain espionage spy secret agent shootout cannes, france"
A Haunting in Venice,Kenneth Branagh,Kenneth Branagh,Kyle Allen,Camille Cottin,Mystery Thriller Crime,"based on novel or book venice, italy loss of loved one detective medium grief whodunit investigator guilt novelist post world war ii murder investigation ghost séance murder mystery spiritism halloween night palazzo retired detective",945729,/l6iwxT0NbVw6QiF08YTIuTnXS82.jpg,"kenneth branagh kenneth branagh kyle allen camille cottin mystery thriller crime based on novel or book venice, italy loss of loved one detective medium grief whodunit investigator guilt novelist post world war ii murder investigation ghost séance murder mystery spiritism halloween night palazzo retired detective"
Asteroid City,Wes Anderson,Jason Schwartzman,Scarlett Johansson,Tom Hanks,Comedy Drama,quarantine asteroid diner grandfather war photographer alien grief space family widower astronomy story within the story existentialism parent-in-law child-in-law relationship vending machine stage play death of wife 1950s convention stargazing meta science fiction desert town ambiguous audacious skeptical wry,747188,/hfo7pvL9Fys7rocfL4VOzw9qDEQ.jpg,wes anderson jason schwartzman scarlett johansson tom hanks comedy drama quarantine asteroid diner grandfather war photographer alien grief space family widower astronomy story within the story existentialism parent-in-law child-in-law relationship vending machine stage play death of wife 1950s convention stargazing meta science fiction desert town ambiguous audacious skeptical wry
Jawan,Atlee,Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Action Crime Thriller,revenge vigilantism political admiring,872906,/iziN1ingpHwHo02jP4yAH30XzJ5.jpg,atlee shah rukh khan nayanthara vijay sethupathi action crime thriller revenge vigilantism political admiring
Animal,Sandeep Reddy Vanga,Ranbir Kapoor,Rashmika Mandanna,Anil Kapoor,Action Crime Drama,fistfight shootout held at gunpoint machine gun hand to hand combat action hero father son conflict complex relationship,781732,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,sandeep reddy vanga ranbir kapoor rashmika mandanna anil kapoor action crime drama fistfight shootout held at gunpoint machine gun hand to hand combat action hero father son conflict complex relationship
Renfield,Chris McKay,Nicholas Hoult,Nicolas Cage,Awkwafina,Comedy Fantasy Horror,police vampire gore bugs mob family crooked cops immortal dracula abusive relationship bloody death violence,649609,/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg,chris mckay nicholas hoult nicolas cage awkwafina comedy fantasy horror police vampire gore bugs mob family crooked cops immortal dracula abusive relationship bloody death violence
Plane,Jean-François Richet,Gerard Butler,Mike Colter,Tony Goldwyn,Action Adventure Thriller,airplane pilot philippines held hostage plane crash intense,646389,/9wpQ5BBav87cPXT89QoLsuPUbp6.jpg,jean-françois richet gerard butler mike colter tony goldwyn action adventure thriller airplane pilot philippines held hostage plane crash intense
